date,engine,prompt,mentioned,cited,position,cited_sources,notes,method
2026-09-15,ChatGPT,bass house DJs in London to book,,,,,,manual
2026-09-15,Perplexity,bass house DJs in London to book,,,,,,manual
2026-09-15,Gemini,bass house DJs in London to book,,,,,,manual
2026-09-15,Google AI Mode,bass house DJs in London to book,,,,,,manual
2026-09-15,ChatGPT,who is DJ UrbanT,,,,,,manual
2026-09-15,Perplexity,who is DJ UrbanT,,,,,,manual
2026-09-15,Gemini,who is DJ UrbanT,,,,,,manual
2026-09-15,Google AI Mode,who is DJ UrbanT,,,,,,manual
2026-09-16,Claude,bass house DJs in London to book,n,n,,ticket247.co.uk; ra.co; skiddle.com; bassfest.co.uk; en.wikipedia.org; mn2s.com; dnbfamily.chat; drumandbassuk.com; umcmanagement.co.uk; djjobs.uk; djagency.uk; zipdj.com,"Based on my search results, I can provide you with information about booking DJs in London, though I should note that the search results focused more on drum & bass and general house music rather than",api
2026-09-16,Claude,who is DJ UrbanT,y,n,,instagram.com; x.com; beatport.com; music.apple.com; youtube.com; reesurban.bandcamp.com; soundcloud.com; en.wikipedia.org; open.spotify.com,"Based on the search results, there appear to be multiple people using the name ""DJ UrbanT"" or similar variations:  1. **DJ Urban (Rees Urban)** - A Chicago-based DJ with over 25 years of experience. H",api
2026-09-16,Claude,bass house DJs in London to book,n,n,,ticket247.co.uk; ra.co; skiddle.com; bassfest.co.uk; en.wikipedia.org; mn2s.com; dnbfamily.chat; drumandbassuk.com; musicalhow.com; entertainersworldwide.com; last.fm; urbanagency.co.uk; encoremusicians.com; aaemusic.com,"Based on my search results, here are some bass house DJs and related artists you can book in London:  ## Bass House DJs  **UK-Based Bass House Artists:** - **CORRUPT (UK)** - Celebrated for impactful ",api
2026-09-16,Claude,who is DJ UrbanT,y,n,,instagram.com; x.com; beatport.com; music.apple.com; reesurban.bandcamp.com; soundcloud.com; en.wikipedia.org; open.spotify.com,"Based on the search results, there appear to be multiple people who go by ""DJ UrbanT"" or similar names. The most prominent one I found is:  **DJ Urban (Rees Urban)** - A Chicago-based DJ with over 25 ",api
