Date,Clicks,Impressions,CTR,Position
2026-06-13,0,0,,
2026-06-14,0,2,0%,10.5
2026-06-15,0,1,0%,8
2026-06-16,0,2,0%,8.5
2026-06-17,0,0,,
2026-06-18,0,0,,
2026-06-19,0,2,0%,8
2026-06-20,0,1,0%,5
2026-06-21,0,2,0%,8
2026-06-22,0,0,,
2026-06-23,1,2,50%,7
2026-06-24,0,1,0%,8
2026-06-25,0,3,0%,16
2026-06-26,0,1,0%,10
2026-06-27,0,3,0%,10.3
2026-06-28,0,1,0%,9
2026-06-29,0,1,0%,10
2026-06-30,0,0,,
2026-07-01,0,0,,
2026-07-02,0,2,0%,12
2026-07-03,0,0,,
2026-07-04,0,1,0%,6
2026-07-05,0,3,0%,12.7
2026-07-06,0,2,0%,8.5
2026-07-07,0,2,0%,5
2026-07-08,0,1,0%,25
2026-07-09,0,0,,
2026-07-10,0,2,0%,9
2026-07-11,0,0,,
2026-07-12,0,0,,
2026-07-13,0,0,,
2026-07-14,0,0,,
2026-07-15,0,0,,
2026-07-16,0,0,,
2026-07-17,0,3,0%,6.7
2026-07-18,0,2,0%,26
2026-07-19,0,0,,
2026-07-20,0,2,0%,13.5
2026-07-21,0,2,0%,10
2026-07-22,0,1,0%,10
2026-07-23,0,2,0%,3.5
2026-07-24,0,2,0%,2.5
2026-07-25,0,0,,
2026-07-26,0,2,0%,6.5
2026-07-27,0,1,0%,30
2026-07-28,0,5,0%,18.8
2026-07-29,0,0,,
2026-07-30,0,1,0%,31
2026-07-31,0,1,0%,15
2026-08-01,0,3,0%,18
2026-08-02,0,4,0%,13.8
2026-08-03,0,1,0%,3
2026-08-04,0,1,0%,19
2026-08-05,0,0,,
2026-08-06,0,7,0%,14.9
2026-08-07,0,3,0%,15.3
2026-08-08,0,0,,
2026-08-09,0,1,0%,6
2026-08-10,0,1,0%,4
2026-08-11,0,0,,
2026-08-12,0,1,0%,4
2026-08-13,0,2,0%,13.5
2026-08-14,0,2,0%,20
2026-08-15,0,0,,
2026-08-16,0,1,0%,2
2026-08-17,0,1,0%,7
2026-08-18,0,2,0%,8
2026-08-19,0,3,0%,16
2026-08-20,0,0,,
2026-08-21,0,2,0%,12
2026-08-22,0,1,0%,6
2026-08-23,0,0,,
2026-08-24,0,1,0%,7
2026-08-25,0,2,0%,9
2026-08-26,0,0,,
2026-08-27,0,4,0%,8.5
2026-08-28,0,0,,
2026-08-29,0,1,0%,10
2026-08-30,0,3,0%,9.3
2026-08-31,0,2,0%,9.5
2026-09-01,0,5,0%,7
2026-09-02,0,1,0%,6
2026-09-03,0,1,0%,13
2026-09-04,0,3,0%,6.7
2026-09-05,0,4,0%,16
2026-09-06,0,1,0%,22
2026-09-07,0,3,0%,9.3
2026-09-08,0,4,0%,8.8
2026-09-09,0,1,0%,24
2026-09-10,0,4,0%,6.5
2026-09-11,0,3,0%,6.7
2026-09-12,0,1,0%,11
