Country,Clicks,Impressions,CTR,Position
India,1,6,16.67%,11.33
United States,0,32,0%,11.22
France,0,20,0%,7.35
Germany,0,8,0%,11.62
Poland,0,7,0%,10.29
Denmark,0,7,0%,17.29
Belgium,0,5,0%,7.8
United Kingdom,0,5,0%,9.6
Canada,0,5,0%,15.6
Japan,0,4,0%,7.75
Sweden,0,3,0%,4.33
Portugal,0,3,0%,7.67
Netherlands,0,3,0%,8.67
Thailand,0,3,0%,27.33
Australia,0,2,0%,7
Spain,0,2,0%,7
Hungary,0,2,0%,7.5
Italy,0,2,0%,7.5
Ukraine,0,2,0%,12.5
Morocco,0,2,0%,18
Brazil,0,1,0%,3
Mozambique,0,1,0%,3
Sri Lanka,0,1,0%,6
New Zealand,0,1,0%,6
Serbia,0,1,0%,7
Colombia,0,1,0%,8
Senegal,0,1,0%,8
Ireland,0,1,0%,9
Côte d’Ivoire,0,1,0%,10
Kazakhstan,0,1,0%,11
Saudi Arabia,0,1,0%,12
Jordan,0,1,0%,15
Vietnam,0,1,0%,26
Bangladesh,0,1,0%,31
Algeria,0,1,0%,42
Norway,0,1,0%,44
