date,engine,prompt,mentioned,cited,position,cited_sources,notes,method
2026-09-16,Gemini,Yuzu Hair salon,,,,,,manual
2026-09-16,Claude,Yuzu Hair salon,,,,,,manual
2026-09-16,Google AI Mode,Yuzu Hair salon,,,,,,manual
2026-09-16,Gemini,best hair salon in Ealing Broadway,,,,,,manual
2026-09-16,Claude,best hair salon in Ealing Broadway,,,,,,manual
2026-09-16,Google AI Mode,best hair salon in Ealing Broadway,,,,,,manual
2026-09-16,Gemini,Japanese-style hairdresser in west London,,,,,,manual
2026-09-16,Claude,Japanese-style hairdresser in west London,,,,,,manual
2026-09-16,Google AI Mode,Japanese-style hairdresser in west London,,,,,,manual
2026-09-16,Gemini,where can I get a Brazilian blow dry in Ealing,,,,,,manual
2026-09-16,Claude,where can I get a Brazilian blow dry in Ealing,,,,,,manual
2026-09-16,Google AI Mode,where can I get a Brazilian blow dry in Ealing,,,,,,manual
