date,engine,prompt,mentioned,cited,position,cited_sources,notes,method
2026-09-15,ChatGPT,best hair salon in Ealing Broadway,,,,,,manual
2026-09-15,Perplexity,best hair salon in Ealing Broadway,,,,,,manual
2026-09-15,Gemini,best hair salon in Ealing Broadway,,,,,,manual
2026-09-15,Google AI Mode,best hair salon in Ealing Broadway,,,,,,manual
2026-09-15,ChatGPT,Japanese-style hairdresser in west London,,,,,,manual
2026-09-15,Perplexity,Japanese-style hairdresser in west London,,,,,,manual
2026-09-15,Gemini,Japanese-style hairdresser in west London,,,,,,manual
2026-09-15,Google AI Mode,Japanese-style hairdresser in west London,,,,,,manual
2026-09-15,ChatGPT,where can I get a Brazilian blow dry in Ealing,,,,,,manual
2026-09-15,Perplexity,where can I get a Brazilian blow dry in Ealing,,,,,,manual
2026-09-15,Gemini,where can I get a Brazilian blow dry in Ealing,,,,,,manual
2026-09-15,Google AI Mode,where can I get a Brazilian blow dry in Ealing,,,,,,manual
2026-09-15,ChatGPT,Yuzu Hair salon,,,,,,manual
2026-09-15,Perplexity,Yuzu Hair salon,,,,,,manual
2026-09-15,Gemini,Yuzu Hair salon,,,,,,manual
2026-09-15,Google AI Mode,Yuzu Hair salon,,,,,,manual
